response_efficiency,voltage_ratio,peak_voltage_ratio,rms_voltage_ratio,waveform_correlation,vo_variability,vl_variability,response_delay,response_delay_normalized,residual_energy_ratio,vo_complexity,capacitor,cycle,efficiency_degradation_rate,voltage_ratio_deviation,correlation_shift,peak_voltage_ratio_deviation,degradation_score_corr,degradation_score_vo_var,degradation_score_vl_var,degradation_score_residual,degradation_score,degradation_stage,anomaly_score,anomaly_detected,predicted_degradation,alert_level,actual_stage,day
1.221422168114133,-13.39939107484998,1.0467654858874789,1.1051796994670744,0.9989064957068234,1.0866642341386148,1.1648793181414898,0,0.0,0.0017824484430146,0.182609114299787,ES12C7,1,,,,,0.9952976687333044,0.9259758149912508,0.9751636735420448,9.895363859638672e-05,0.7241340277262992,Severe,-0.3722112617036316,False,0.717203755198593,ALERT,Severe,1
0.9842139111054647,0.990553346885746,1.040715189642173,0.9920755571555347,0.6239481553111961,0.0953775562481559,0.077474144949218,0,0.0,0.0055052798785163,0.1937588309482704,ES12C7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086838115682312,0.0021709528920578,Normal,-0.0009728153329988665,False,0.002072023047828235,INFO,Normal,2
1.4991795555145473,1.2245413917808794,1.2494785620896514,1.2244098805198147,0.6664552806819632,0.0760104646881932,0.0774176183713504,0,0.0,0.0031929532017614,0.1892130536672672,ES12C7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033515808855464,0.0008378952213866,Normal,-0.007078342814154759,False,0.0008903752364487977,INFO,Normal,3
2.121186978519894,1.457451123676179,1.4323416791393273,1.4564295309145217,0.7323842267910098,0.0647229948483394,0.0748218535327004,0,0.0,0.0019340052510005,0.1885282077629247,ES12C7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004484439895213,0.0001121109973803,Normal,-0.019781748072558614,False,0.0024928263590834982,INFO,Normal,4
2.8587628134891494,1.693048453324492,1.6234545871230608,1.690787631102484,0.748276814514052,0.0565934351386039,0.0767297772040918,0,0.0,0.0014050014926219,0.1882404221245846,ES12C7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,-0.022595742740391223,False,0.0040800424644711585,INFO,Normal,5
3.7148881777957214,1.9309041410828596,1.8127703210074575,1.927404518464072,0.7614951456829367,0.0503720245695133,0.0786212170421873,0,0.0,0.0010633027301186,0.1878102292800439,ES12C7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,-0.02510733338308402,False,0.0064783054880118394,INFO,Normal,6
4.693307167241841,2.17115998057985,2.00516475057731,2.166404202184311,0.7725300832579243,0.0454839355240291,0.0804560846541746,0,0.0,0.0008324077568108,0.1874256009157062,ES12C7,7,0.0,0.0,0.0,0.0,0.0218246893007896,0.0,0.0,0.0,0.0054561723251974,Normal,-0.02731367583560651,False,0.008825218169124585,INFO,Normal,7
5.798229451809327,2.414009331679465,2.200718834267824,2.4079512976406576,0.7820709678564908,0.0415180915578755,0.0822827880250518,0,0.0,0.0006682929478513,0.1869494767094376,ES12C7,8,0.0,0.0,0.0,0.0,0.0628527860716265,0.0,0.0,0.0,0.0157131965179066,Normal,-0.029311746313303466,False,0.017042023477553146,INFO,Normal,8
7.035472499186676,2.659864930417597,2.3952519775403784,2.6524465120312373,0.7905585558807281,0.0383506872471584,0.0841455769893685,0,0.0,0.0005507559192735,0.1868720621723332,ES12C7,9,0.0,0.0,0.0,0.0,0.0993514544300853,0.0,0.0,0.0,0.0248378636075213,Normal,-0.031174322817537736,False,0.023477278576871055,INFO,Normal,9
8.409814308969645,2.9088195123186753,2.5905076958780935,2.8999679841283847,0.7979228521226491,0.0356406761969871,0.0859762179213842,0,0.0,0.0004609234569896,0.1865131093569329,ES12C7,10,0.0,0.0,0.0,0.0,0.1310196981596073,0.0,0.0,0.0,0.0327549245399018,Normal,-0.032839906816019115,False,0.03376500914102082,INFO,Normal,10
