capacitor_id,cycle,response_efficiency,signal_attenuation,vl_cv,vl_max,vl_mean,vl_median,vl_min,vl_q25,vl_q75,vl_range,vl_std,vl_trend,vo_cv,vo_max,vo_mean,vo_median,vo_min,vo_q25,vo_q75,vo_range,vo_std,vo_trend,voltage_ratio,voltage_ratio_std,is_abnormal,rul
ES12C1,1,-0.2803143577690704,0.591972783563587,8.927084856967685,-0.09604115282235258,-0.019255849560821072,-0.02210139495701451,0.07011727311851841,-0.015698045364511477,-0.02550009462063007,-0.4204956876353404,-1.1403138119523153,0.16642317591341566,0.049751074502325646,-1.0443996208084159,-1.0320593671957237,-1.0329826881308464,-1.0196891083148172,-1.0303371980152234,-1.0344057779510871,-0.8043745204397946,-1.0620103009948598,-0.022916129395715273,-0.04755104143858952,-0.5516979548957808,0,199
ES12C1,2,-1.0182929994382965,-1.0992521251010954,0.4113340455421427,1.9598293919900018,1.915690051089823,1.9172585640588062,0.2989106281864599,1.9179335074088073,1.9145420282175651,3.9828719513476836,0.7840597378815743,-0.2696000294809953,-0.058553662228122784,-0.6576898268911406,-0.674458970686043,-0.6743126153758966,-0.8959712267659999,-0.6764998938056874,-0.6722252150751932,5.1732109580249315,1.560425739253763,0.026525224024915573,-0.5254995844521567,-0.56381434709017,0,198
ES12C1,3,-2.6186136495631067,-0.9765212762129737,0.4112986525038014,1.9478300075473711,1.8526363316083116,1.8530614850498004,0.30296519848841547,1.8545162335524235,1.850954586208702,3.9428439658410412,0.17745656345561528,-0.23357740789585893,-0.05980881769818318,-0.5629803361080288,-0.5981554737565564,-0.598410878645948,-0.6148742315846639,-0.5995744585339725,-0.5972509346532469,1.0255751015570773,1.11517366470008,0.15636470349679785,-0.5220181435896902,-0.5622361120171664,0,197
ES12C1,4,1.4644374834572835,-1.4338913865742033,0.4108925882001323,1.9149868228636593,1.796666831588058,1.7955900833019809,1.8309566845437033,1.7978050030759967,1.793479221095331,-0.19878654592660824,-0.9470728570000477,-0.044823130959497935,-0.060521674367888474,-0.4889522686312962,-0.5259640509094737,-0.526369300080268,-0.5420235661594751,-0.5271121799577597,-0.5253580916034299,1.0697443330809726,0.9771193446454012,0.26714502192507295,-0.5185444053553094,-0.5652301769738521,0,196
ES12C1,5,1.508502750985076,-1.3278536906220695,0.41116171424570064,1.8360348023536286,1.7442728749113228,1.7430104255420016,1.7828815749053377,1.7453641569865828,1.740897660002719,-0.2634562562233514,-0.972296301315772,-0.06564943847192227,-0.06103448629314947,-0.42467668769210337,-0.45669165129707634,-0.4570698931118215,-0.47142336646024374,-0.45746812804048953,-0.456350663156159,0.9437068094457506,0.861011831027786,0.36691853014756315,-0.5150222240416883,-0.5652213501432835,0,195
ES12C1,6,1.5140664570433493,-1.2371648683806846,0.4114283316122064,1.7741375075354417,1.6954784084712935,1.6940967514403455,1.7388610355689271,1.6965814941803259,1.691984098230015,-0.2973297374433772,-0.9939932336471742,-0.09160201457314585,-0.06142053462492247,-0.362046544834031,-0.39009935152878467,-0.3905009901130186,-0.4044956320654724,-0.3906725433093884,-0.3899868467077936,0.8626280423390227,0.7619154557557428,0.45350495826402987,-0.5114592920802845,-0.5652096222221398,0,194
ES12C1,7,1.556722256950781,-1.1484681483548929,0.4116905645134897,1.7147669107867922,1.6497400864240876,1.6482427709415528,1.6959981804058424,1.6508466914708688,1.646126574905056,-0.32812122499136886,-1.016968106448833,-0.10913879461118144,-0.061725616571995955,-0.29988611357246014,-0.32594402147577056,-0.3263697979552775,-0.3396998026313908,-0.3262491080370602,-0.3261442522265751,0.8186279306603509,0.664314318637074,0.5345512801965275,-0.5078539888482969,-0.5651954224215823,0,193
ES12C1,8,1.5769067537890342,-1.0895686812823657,0.4119516807036446,1.657923012107681,1.6064202099617835,1.6048327795483097,1.6542947932129606,1.6075531815068453,1.6027168950687416,-0.3558354603960503,-1.0399113961656323,-0.12624253839934552,-0.061964378454775704,-0.2406633700924014,-0.2640517799340645,-0.26444288263502486,-0.27739192525615697,-0.26428583541700446,-0.26433128444662746,0.7638575874601248,0.595623660190853,0.6087394246493517,-0.5042012821963554,-0.5651792532317054,0,192
ES12C1,9,1.5532662964395658,-1.0297208498336627,0.4122194184596858,1.6092894233219632,1.565183433102845,1.563258604316784,1.6166441925251571,1.5660868852669043,1.5617512928080122,-0.37430845631335324,-1.0536116656799541,-0.14672609651028215,-0.06216136466239864,-0.18332092049171403,-0.20418689542006974,-0.204624333628067,-0.21650531785471636,-0.20431341876144887,-0.20451638104087816,0.6983637916226381,0.5309966164587047,0.6747952812241297,-0.5004947523965871,-0.5651611513142215,0,191
ES12C1,10,1.548321935595775,-0.9834944076846935,0.41248397681392934,1.5625503718108635,1.5258351468627889,1.5235164794702347,1.578995375634231,1.5270600038549005,1.5220077293350758,-0.3881679447800579,-1.0723403868393653,-0.1601812439264055,-0.06232469236942217,-0.12738832942721406,-0.14624932296476753,-0.14669908938417311,-0.15822485847503615,-0.14624360362995134,-0.14666988013422394,0.6592976302835497,0.47694295963798705,0.7374158708600681,-0.4967348971029297,-0.5651414797749653,0,190
